intentId,contestId,candidateId,amount,status,createdAt
4ktPldBJonvAtqpMmyU2,votes-artistes,RIAr7Uw1uo74gAhWWM9c,200,pending,2025-12-15T10:12:37.390Z
4n28iNqrG4zoWhxyBoCn,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T07:09:41.029Z
4t0aFyX5F7wFS87n095m,votes-artistes,GEVWzgnMyTnavWjEa6pg,1500,pending,2025-12-16T22:10:24.441Z
4vWVfC68NAaDAH41tPYD,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-16T20:18:52.384Z
4z3ngwRoyZsvAB1UkjV0,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-15T08:30:51.041Z
555j3d4d4nh6KTCk3aXl,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T09:21:24.969Z
55ewCWgHE7Vu893fhOgd,votes-artistes,zNIM4k3VP04xbhamFPva,100,pending,2025-12-15T12:32:02.961Z
5M1VZRFCets7j4E9Blvk,votes-artistes,RIAr7Uw1uo74gAhWWM9c,100,pending,2025-12-18T10:09:29.192Z
5N4wncs4QUvxQJZyotIL,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-17T19:04:29.696Z
5m5rgsJzvif6LY6eBNqa,votes-artistes,RIAr7Uw1uo74gAhWWM9c,1000,pending,2025-12-15T22:07:11.491Z
5mjfMydUfdtujCOWD7IH,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-17T19:30:22.100Z
5pQErxMFJ5UZlYkGjS8H,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T21:09:18.629Z
5vqjPIU0OKOhryKWIkX6,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-19T10:03:56.006Z
5xF0Ctn32JoFV1tKl8mT,votes-artistes,RIAr7Uw1uo74gAhWWM9c,200,pending,2025-12-16T13:37:23.202Z
64eUgYAeEkGlj9pqq4vY,votes-artistes,RIAr7Uw1uo74gAhWWM9c,100,pending,2025-12-16T09:15:05.045Z
64go0qlAWaGQhtLlrX9s,votes-artistes,TXBLgEfug2LJqx5MXWe4,900,pending,2025-12-17T07:16:11.029Z
68cRFTJk5kXk1PWUd4xn,votes-artistes,GEVWzgnMyTnavWjEa6pg,10000,pending,2025-12-15T16:33:34.014Z
6BMAlYcTA0bJG5bzZTfg,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-15T09:08:52.949Z
6MrzahufBZ2ooNIL9Cib,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-17T15:15:46.791Z
6T7DmrK2FQtj7PypDT9e,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-15T21:19:19.699Z
6dJkQxbWIKMlNDFenv1M,votes-artistes,GEVWzgnMyTnavWjEa6pg,2100,pending,2025-12-19T04:14:34.527Z
