id,contestId,name,media,biography,slug,phoneHash,photoUrl,photoPath,source,status,voteCount,createdAt,publishedAt,updatedAt
K1ahblkF9zbN87Hbsf9n,f9NdI6f1lH7Z2ZxUzEFt,KANTCHEDE Tagnon Baudelaire,Radio Bénin (SRTB),Radio Bénin (SRTB),kantchede-tagnon-baudelaire-radio-benin-srtb,39b78a7504f190cf89a4978d56bc8fc048bba522f578b319b6504669a05f1a11,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F39b78a7504f190cf-f683b307e2.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/39b78a7504f190cf-f683b307e2.jpg,form,published,7,2025-11-13T07:55:16.593Z,2025-11-13T07:55:16.593Z,2025-11-13T07:55:16.593Z
KloBDkllIFVxl0c4KmtE,f9NdI6f1lH7Z2ZxUzEFt,CADJA DODO ariace Josiane,Independent,Independent,cadja-dodo-ariace-josiane-independent,a6711d6f0add8d5b536c87954aefbf09327ff7761466e23e45c2d506ffab52fb,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2Fa6711d6f0add8d5b-db05aebb86.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/a6711d6f0add8d5b-db05aebb86.jpg,form,published,5,2025-11-15T13:56:00.163Z,2025-11-15T13:56:00.163Z,2025-11-15T13:56:00.163Z
xmzlWKpQ6vaBrWUBkIR5,f9NdI6f1lH7Z2ZxUzEFt,KATAKENON Aristide Pirus,Radio cité savalou culture fm,Radio cité savalou culture fm,katakenon-aristide-pirus-radio-cite-savalou-culture-fm,912810db6236efcf4f79eced009c22620ad488efb3c1e26acdc28927942d2fe6,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F912810db6236efcf-1dc690607f.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/912810db6236efcf-1dc690607f.jpg,form,published,5,2025-11-13T12:13:40.005Z,2025-11-13T12:13:40.005Z,2025-11-13T12:13:40.005Z
GDieaZwnau0cFOoQ3K7Z,f9NdI6f1lH7Z2ZxUzEFt,Séverin Adéwalé,Je suis journaliste à Legibenin et correspondant BBC Afrique à Lomé,Je suis journaliste à Legibenin et correspondant BBC Afrique à Lomé. Je cumule plus de cinq années dans le journalisme sportif.,severin-adewale-je-suis-journaliste-a-legibenin-et-correspondant-bbc-afrique-a-lome,2d73f25ddb61e19dbb0256895e97cee2e6592d74837a2ce113e1781587842942,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F2d73f25ddb61e19d-63162fa0bc.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/2d73f25ddb61e19d-63162fa0bc.jpg,form,published,4,2025-11-12T20:30:47.501Z,2025-11-12T20:30:47.501Z,2025-11-12T20:30:47.501Z
AthT1y4128lMOTkSFo5W,f9NdI6f1lH7Z2ZxUzEFt,MANDOU Kévin,Indépendant,Indépendant,mandou-kevin-independant,f75b0ec6bec091bd4cf0e0afea3f45ae4bbc4660307e3cb6c1a809b9c87102af,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2Ff75b0ec6bec091bd-0335e0333f.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/f75b0ec6bec091bd-0335e0333f.jpg,form,published,3,2025-11-17T19:26:10.261Z,2025-11-17T19:26:10.261Z,2025-11-17T19:26:10.261Z
UAwUk7YsrCjfMThBuCvN,f9NdI6f1lH7Z2ZxUzEFt,Jésugnon Brice ADJAGAN,Indépendant,Indépendant,jesugnon-brice-adjagan-independant,e4216c00237574caabfbd9686839ddf4a21a902b583a82ab48cb61aad29473f2,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2Fe4216c00237574ca-252a22e016.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/e4216c00237574ca-252a22e016.jpg,form,published,2,2025-11-15T12:22:25.260Z,2025-11-15T12:22:25.260Z,2025-11-15T12:22:25.260Z
ZPXDqsEqRHgESWS2uMz0,f9NdI6f1lH7Z2ZxUzEFt,DONKPEGAN MODESTE,SRTB,SRTB,donkpegan-modeste-srtb,cb7a21fe230c2fc650a6d333206fb2f06c95bf547013a74b2e4cf945e9422d9c,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2Fcb7a21fe230c2fc6-67b48e3a1d.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/cb7a21fe230c2fc6-67b48e3a1d.jpg,form,published,1,2025-11-13T12:59:38.084Z,2025-11-13T12:59:38.084Z,2025-11-13T12:59:38.084Z
1yOIWBm9fcF2tL0jv6xj,f9NdI6f1lH7Z2ZxUzEFt,GANDJO Towanou Christian,Radio Bénin,Radio Bénin,gandjo-towanou-christian-radio-benin,352f69170bfd619f762c50953e91feb2652118fc3aa9fc09297bc13da80d3c3d,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F352f69170bfd619f-cdab1d9fc4.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/352f69170bfd619f-cdab1d9fc4.jpg,form,published,1,2025-11-14T20:04:42.381Z,2025-11-14T20:04:42.381Z,2025-11-14T20:04:42.381Z
OtxjdYeI16SZHkxbnxAv,f9NdI6f1lH7Z2ZxUzEFt,GBOYOU Bonneo Florice,BP+,BP+,gboyou-bonneo-florice-bp,6105bd2d4106aa7c50ad42fd8ddae42d63aadc846b72ea15dc42465f90890d94,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F6105bd2d4106aa7c-dd2d9dbd27.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/6105bd2d4106aa7c-dd2d9dbd27.jpg,form,published,1,2025-11-16T18:50:16.555Z,2025-11-16T18:50:16.555Z,2025-11-16T18:50:16.555Z
F8dKJv2ANe5lqB65KrqS,f9NdI6f1lH7Z2ZxUzEFt,GOHONOU Armel Corneille,Radio Bénin Alafia,Radio Bénin Alafia,gohonou-armel-corneille-radio-benin-alafia,7767d51f94b04d2935944318b6d3d2e77c55c88a0037f403aebefc8944e4eda4,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F7767d51f94b04d29-e2b78f6d1d.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/7767d51f94b04d29-e2b78f6d1d.jpg,form,published,1,2025-11-16T18:29:13.279Z,2025-11-16T18:29:13.279Z,2025-11-16T18:29:13.279Z
